,Activation,ActivityRegularization,AlphaDropout,BatchNormalization,Cropping1D,Cropping2D,Cropping3D,Dense,Dropout,ELU,Embedding,Flatten,GRUCell,GaussianDropout,GaussianNoise,InputLayer,LSTMCell,Lambda,LeakyReLU,LocallyConnected1D,LocallyConnected2D,Masking,PReLU,Permute,RNN,ReLU,RepeatVector,Reshape,SimpleRNNCell,Softmax,StackedRNNCells,ThresholdedReLU,UpSampling1D,UpSampling2D,UpSampling3D,Wrapper,ZeroPadding1D,ZeroPadding2D,ZeroPadding3D
activation,Y,,,,,,,Y,,,,,Y,,,,Y,,,Y,Y,,,,,,,,Y,,,,,,,,,,
l1,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l2,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rate,,,Y,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,
noise_shape,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axis,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
momentum,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epsilon,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scale,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_initializer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma_initializer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moving_mean_initializer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moving_variance_initializer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_regularizer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma_regularizer,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_constraint,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gamma_constraint,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renorm,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renorm_clipping,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renorm_momentum,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fused,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainable,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virtual_batch_size,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adjustment,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
cropping,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data_format,,,,,,Y,Y,,,,,Y,,,,,,,,Y,Y,,,,,,,,,,,,,Y,Y,,,Y,Y
units,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,
use_bias,,,,,,,,Y,,,,,Y,,,,Y,,,Y,Y,,,,,,,,Y,,,,,,,,,,
kernel_initializer,,,,,,,,Y,,,,,Y,,,,Y,,,Y,Y,,,,,,,,Y,,,,,,,,,,
bias_initializer,,,,,,,,Y,,,,,Y,,,,Y,,,Y,Y,,,,,,,,Y,,,,,,,,,,
